codigo,produto,saldo,unidade,preco_atacado,preco_varejo,fornecedor
205,(HS) MAX DUCHA 5500W 220V 26A,"-8,000",UN,8.99,0.0,TECNO CORTE
231,(HS) RESISTENCIA BELA ULTRA 4T,"245,000",UN,16.63,0.0,DIAMETALIC FERRA
474,ABRACADEIRA 200X4.8MM PRETA,"51,000",UN,9.46,0.0,APLASTEC
403,ABRACADEIRA 4.8X200MM BRANCA,"20,000",UN,9.76,0.0,APLASTEC
510,ABRACADEIRA 4.8X280MM BRANCA,"90,000",UN,9.46,0.0,APLASTEC
404,ABRACADEIRA 4.8X280MM PRETA,"0,000",UN,13.96,0.0,APLASTEC
472,ABRACADEIRA DE NYLON 100X2.5MM B,"12,000",UN,2.46,0.0,APLASTEC
473,ABRACADEIRA DE NYLON 100X2.5MM P,"12,000",UN,2.46,0.0,APLASTEC
310,"ABRACADEIRA DE NYLON 3,6X300MM C","7,000",UN,9.45,0.0,SETE MARES COMER
470,ABRACADEIRA DE NYLON 300X7.6MM P,"12,000",UN,12.44,0.0,APLASTEC
413,"ABRACADEIRA DE NYLON 4,8X400MM B","36,000",UN,16.02,0.0,KL VITORIA - COM. D
346,"ABRACADEIRA DE NYLON 4,8X400MM P","38,000",UN,16.02,0.0,SETE MARES COMER
499,ABRACADEIRA DE NYLON 4.8X300,"120,000",UN,11.7,0.0,SETE MARES COMER
471,ABRACADEIRA DE NYLON 400X7.6MM P,"34,000",UN,17.1,0.0,APLASTEC
217,"ABRACADEIRA DE NYLON 7,6X450MM (","18,000",UN,39.9,0.0,SQ COMERCIO E DIS
311,ABRACADEIRA DE NYLON BRANCA 4,"61,000",UN,8.32,0.0,SETE MARES COMER
323,"ABRACADEIRA NYLON 3,6X300MM C/ 1","11,000",PC,9.44,0.0,SETE MARES COMER
312,"ABRACADEIRA NYLON 4,8X150MM","79,000",UN,7.44,0.0,SETE MARES COMER
176,ABRACADEIRA NYLON 7.6X450MM (B,"98,000",UN,39.9,0.0,SETE MARES COMER
467,ADAPATADOR BENJAMIN T EM LATAO,"88,000",UN,2.1,0.0,APLASTEC
355,ADAPTADOR 4 ENTRADAS 10 E 20 A - L,"14,000",UN,7.8,0.0,PLUS ADAPTADORE
466,ADAPTADOR BOB SPONJA QUADRADO B,"72,000",UN,1.7,0.0,APLASTEC
209,ADAPTADOR CASULO 10 ES20A,"-6,000",UN,2.4,0.0,
208,ADAPTADOR CUBO 4 LADOS,"-10,000",UN,3.5,0.0,
441,ADAPTADOR DE TORNEIRA,"334,000",UN,2.57,0.0,KL VITORIA - COM. D
286,ADAPTADOR DOBRAVEL 10 E 20A,"25,000",UN,11.04,0.0,
465,ADAPTADOR MULTIPLO INVERTIDO,"200,000",UN,2.24,0.0,APLASTEC
285,ADAPTADOR REDONDO 10 E20A,"5,000",UN,8.4,0.0,
372,"ADESIVO MONOCOMPONENTE 400G, C","6,000",UN,14.9,0.0,KL VITORIA - COM. D
354,ADESIVO SELANTE MONOCOMNENTE 4,"18,000",PC,14.9,0.0,KL VITORIA - COM. D
359,"ADESIVO SELANTE MONOCOMPONENTE,4","18,000",UN,14.9,0.0,KL VITORIA - COM. D
228,"ADPATADOR 3""T"" SAIDAS 10/20 A PIN","-14,000",UN,7.05,0.0,
163,ALICATE BICO 6 (STARTOOLS),"32,000",UN,17.99,0.0,STARTOOLS FERRA
399,ALICATE DE CORTE 6,"111,000",UN,12.28,0.0,SETE MARES COMER
386,ALICATE DE CORTE 8,"143,000",UN,16.02,0.0,SETE MARES COMER
555,"ALICATE P/ BOMBA DE AGUA, 10","60,000",UN,29.16,0.0,SETE MARES COMER
38,ALICATE TURQUESA 8 - 4X12 (STARTO,"136,000",UN,17.0,0.0,STARTOOLS FERRA
320,"ANEL P/ VEDACAO, DE BORRACHA, 50 P","108,000",UN,11.34,0.0,SETE MARES COMER
313,APARELHO DE BARBEAR DE USO MANU,"30,000",UN,29.96,0.0,SETE MARES COMER
352,"APLICADOR DE METAL, DE USO MANUA","65,000",UN,16.99,0.0,SETE MARES COMER
278,APLICADOR DE SILICONE MANUAL IN,"0,000",PC,18.02,0.0,KL VITORIA - COM. D
54,AR0181 - FITA SILVER TAPE 10MTS (S,"20,000",UN,10.02,0.0,STARTOOLS FERRA
41,AR0330 - MANGUEIRA DE BICO BIDE 1,"21,000",UN,35.44,0.0,STARTOOLS FERRA
44,AR0438 - CHAVE PHILLIPS ISOLADA VE,"0,000",CX,7.58,0.0,STARTOOLS FERRA
45,AR0469 - JOGO DE SOQUETE/CANHAO -,"-2,000",UN,16.52,0.0,STARTOOLS FERRA
46,AR0566 - ABRACADEIRA NYLON PRETA,"56,000",UN,13.13,0.0,STARTOOLS FERRA
47,AR0673 - ALICATE DESENCAPADOR E C,"16,000",UN,42.9,0.0,STARTOOLS FERRA
48,AR0706 - JOGO CHAVE COMBINADA C/,"4,000",UN,26.96,0.0,STARTOOLS FERRA
52,AR0728 - JOGO CHAVE FIXA C/12PCS 6X,"0,000",UN,71.0,0.0,STARTOOLS FERRA
53,AR3000 - ETANIZ GAS PARA MACARICO,"13,000",UN,16.99,0.0,SETE MARES COMER
387,ARCO DE SERRA,"32,000",UN,14.94,0.0,SETE MARES COMER
373,ARCO DE SERRA,"4,000",UN,19.99,0.0,KL VITORIA - COM. D
331,AUTO BROCANTE ARRUELA FIXA TER,"12,000",CT,111.1,0.0,KL VITORIA - COM. D
330,AUTO BROCANTE ARRUELA FIXA TER,"12,000",CT,110.59,0.0,KL VITORIA - COM. D
333,AUTO BROCANTE ARRUELA FIXA TER,"9,000",CT,78.3,0.0,KL VITORIA - COM. D
334,AUTO BROCANTE ARRUELA FIXA TER,"9,000",CT,91.46,0.0,KL VITORIA - COM. D
332,AUTO BROCANTE ARRUELA FIXA EPD,"10,000",CT,108.67,0.0,KL VITORIA - COM. D
124,AUTO BROCANTE ARRUELA MOVEL B,"5,000",CT,97.78,0.0,KL VITORIA - COM. D
272,AUTO BROCANTE ARRUELA MOVEL B,"6,000",CT,68.46,0.0,KL VITORIA - COM. D
279,AUTO BROCANTE ARRUELA MOVEL B,"0,000",CX,0.0,0.0,KL VITORIA - COM. D
275,AUTO BROCANTE ARRUELA MOVEL B,"4,000",CX,53.31,0.0,KL VITORIA - COM. D
125,AUTO BROCANTE COSTURA TELHA/T,"27,000",CT,84.24,0.0,KL VITORIA - COM. D
327,AUTO PERFURANTE STEEL TILE IN WO,"1,000",CE,112.26,0.0,KL VITORIA - COM. D
328,AUTO PERFURANTE STEEL TILE IN WO,"4,000",CT,91.42,0.0,KL VITORIA - COM. D
325,AUTO PERFURANTE STEEL TILE IN WO,"36,000",CT,123.2,0.0,KL VITORIA - COM. D
388,"BASTAO DE COLA, P/ PISTOLA DE COL","21,000",PC,48.94,0.0,SETE MARES COMER
389,"BASTAO DE COLA, P/ PISTOLA DE COL","43,000",UN,48.94,0.0,SETE MARES COMER
166,BENJAMIN LATAO 3 SAIDAS,"0,000",UN,3.43,0.0,
226,BENJAMIN T 3 SAIDAS,"-30,000",UN,2.75,0.0,
227,BOB-PORCELANA,"579,000",UN,2.75,0.0,
314,"BOMBA DE AR, DE USO MANUAL 55C","34,000",UN,16.82,0.0,SETE MARES COMER
238,BROCA ACO RAPIDO 10X2.5MM,"0,000",UN,2.51,0.0,DIAMETALIC FERRA
309,"BROCA ACO RAPIDO 2,8MM","39,000",UN,1.28,0.0,DIAMETALIC FERRA
237,BROCA ACO RAPIDO HSS-G 10X1.5M,"0,000",UN,1.4,0.0,DIAMETALIC FERRA
407,BROCA CHATA 10MM,"6,000",UN,3.12,0.0,KL VITORIA - COM. D
408,BROCA CHATA 12MM,"6,000",UN,4.15,0.0,KL VITORIA - COM. D
409,BROCA CHATA 16MM,"6,000",UN,5.17,0.0,KL VITORIA - COM. D
454,BROCA CHATA 18MM,"5,000",UN,5.5,0.0,KL VITORIA - COM. D
411,BROCA CHATA 20MM,"6,000",UN,6.19,0.0,KL VITORIA - COM. D
412,BROCA CHATA 25MM,"6,000",UN,7.25,0.0,KL VITORIA - COM. D
269,BROCA DE CONCRETO 5X86MM,"0,000",UN,2.72,0.0,DIAMETALIC FERRA
289,"BROCA HSS-G 10X1,5MM","29,000",UN,12.0,0.0,DIAMETALIC FERRA
236,BROCA HSS-G 10X1MM,"9,000",UN,12.0,0.0,DIAMETALIC FERRA
291,"BROCA HSS-G 10X2,5MM","50,000",UN,11.2,0.0,DIAMETALIC FERRA
290,BROCA HSS-G 10X2MM,"49,000",UN,11.2,0.0,DIAMETALIC FERRA
293,"BROCA HSS-G 10X3,5MM","50,000",UN,20.8,0.0,DIAMETALIC FERRA
292,BROCA HSS-G 10X3MM,"31,000",UN,20.8,0.0,DIAMETALIC FERRA
295,"BROCA HSS-G 10X4,5MM","44,000",UN,33.6,0.0,DIAMETALIC FERRA
294,BROCA HSS-G 10X4MM,"52,000",UN,27.2,0.0,DIAMETALIC FERRA
297,"BROCA HSS-G 10X5,5MM","38,000",UN,49.6,0.0,DIAMETALIC FERRA
296,BROCA HSS-G 10X5MM,"35,000",UN,40.0,0.0,DIAMETALIC FERRA
299,BROCA HSS-G 10X6.5MM,"47,000",UN,64.0,0.0,DIAMETALIC FERRA
298,BROCA HSS-G 10X6MM,"36,000",UN,56.0,0.0,DIAMETALIC FERRA
301,BROCA HSS-G 10X7.5MM,"47,000",UN,8.16,0.0,DIAMETALIC FERRA
300,BROCA HSS-G 10X7MM,"39,000",UN,7.2,0.0,DIAMETALIC FERRA
306,BROCA HSS-G 5X10MM,"48,000",UN,7.04,0.0,DIAMETALIC FERRA
308,"BROCA HSS-G 5X12,5MM","20,000",UN,12.0,0.0,DIAMETALIC FERRA
307,BROCA HSS-G 5X12MM,"49,000",UN,12.0,0.0,DIAMETALIC FERRA
302,BROCA HSS-G 5X8MM,"43,000",UN,4.56,0.0,DIAMETALIC FERRA
304,"BROCA HSS-G 5X9,5MM","49,000",UN,6.64,0.0,DIAMETALIC FERRA
303,BROCA HSS-G 5X9MM,"49,000",UN,7.5,0.0,DIAMETALIC FERRA
530,BROCA MOURAO 1/4 X 250MM,"21,000",PC,12.06,0.0,KL VITORIA - COM. D
531,BROCA MOURAO LONGA 9/32 X 250MM,"30,000",PC,12.37,0.0,KL VITORIA - COM. D
554,BROCA PARA CONCRETO 6MM X 100M,"0,000",UN,0.0,0.0,COLLINS
270,BROCA VIDEA 8X120MM,"-10,000",UN,4.16,0.0,DIAMETALIC FERRA
283,BROCA WIDEA 10MM,"11,000",UN,5.12,0.0,DIAMETALIC FERRA
519,"BROCA WIDEA 10MM,ELITE","36,000",UN,13.26,0.0,KL VITORIA - COM. D
284,BROCA WIDEA 12MM,"13,000",UN,8.48,0.0,DIAMETALIC FERRA
281,BROCA WIDEA 6MM,"25,000",UN,3.04,0.0,DIAMETALIC FERRA
517,BROCA WIDEA 6MM ELITE,"199,000",UN,3.34,0.0,KL VITORIA - COM. D
282,BROCA WIDEA 8MM,"75,000",UN,4.16,0.0,DIAMETALIC FERRA
518,"BROCA WIDEA 8MM, ELITE","193,000",UN,7.33,0.0,KL VITORIA - COM. D
522,"BROCA WIDEA SDS PLUS 160X 12MM, E","16,000",UN,9.42,0.0,KL VITORIA - COM. D
521,"BROCA WIDEA SDS PLUS 160X10MM,E","95,000",UN,8.06,0.0,KL VITORIA - COM. D
513,BUCHA FIXACAO ECOLIDER 10 C/ANEL,"10,000",UN,33.6,0.0,
514,BUCHA FIXACAO ECOLIDER 8 C/ANEL C,"10,000",UN,35.6,0.0,
580,BUCHAS PLASTICAS 8MM,"10,000",UN,29.23,0.0,APLASTEC
43,CABO EXTENSOR FLEXIVEL P/PARAFU,"6,000",UN,19.96,0.0,STARTOOLS FERRA
442,CHAVE BIELA DE ABERTURA 10MM,"236,000",UN,7.67,0.0,KL VITORIA - COM. D
443,CHAVE BIELA DE ABERTURA FIXA 11,"220,000",UN,7.47,0.0,KL VITORIA - COM. D
482,CHAVE BIELA TIPO L 17MM,"36,000",UN,13.94,0.0,
503,CHAVE DE BIELA 13MM,"140,000",UN,8.86,0.0,SETE MARES COMER
444,CHAVE DE BIELA DE ABERTURA FIXA 1,"134,000",UN,7.75,0.0,KL VITORIA - COM. D
445,CHAVE DE BIELA DE ABERTURA FIXA 1,"185,000",UN,9.81,0.0,KL VITORIA - COM. D
446,CHAVE DE BIELA DE ABERTURA FIXA 1,"78,000",UN,10.74,0.0,SETE MARES COMER
448,CHAVE DE BIELA DE ABERTURA FIXA 8,"290,000",UN,7.64,0.0,SETE MARES COMER
449,CHAVE DE FENDA DE METAL COM CA,"180,000",UN,6.84,0.0,SETE MARES COMER
558,CHAVE DE RODA 17-19-21-23 ACO,"20,000",UN,42.3,0.0,SETE MARES COMER
224,CHAVE PARA ESMERILHADEIRA,"100,000",UN,14.1,0.0,SETE MARES COMER
240,CHUVEIRO BELA DUCHA LOROZETTI 6,"0,000",UN,72.11,0.0,
578,CHUVEIRO ZAGONEL BALLERINA 3T,"8,000",UN,59.99,0.0,
451,CINTA DE NAILON,"48,000",UN,13.92,0.0,SETE MARES COMER
390,COLHER PEDREIRO 7,"96,000",UN,8.54,0.0,SETE MARES COMER
435,COLHER PEDREIRO REDONDO 10 18KG,"48,000",UN,25.23,0.0,
433,COLHER PEDREIRO RETO 10 16KG,"20,000",UN,20.45,0.0,
425,COLHER PEDREIRO 10 CANTO REDOND,"36,000",UN,28.15,0.0,
429,COLHER PEDREIRO 10 CANTO RETO 27,"36,000",UN,27.16,0.0,
426,COLHER PEDREIRO 7 CANTO RETO 15,"40,000",UN,20.8,0.0,
436,COLHER PEDREIRO 7CANTO REDONDO,"40,000",UN,21.35,0.0,
438,COLHER PEDREIRO 8 CANTO REDOND,"37,000",UN,23.54,0.0,
427,COLHER PEDREIRO 8 CANTO RETO 19,"36,000",UN,23.44,0.0,
391,COLHER PEDREIRO 9,"93,000",UN,9.99,0.0,SETE MARES COMER
437,COLHER PEDREIRO 9 CANTO REDOND,"30,000",UN,25.74,0.0,
428,COLHER PEDREIRO 9 CANTO RETO 22,"31,000",UN,25.92,0.0,
432,COLHER PEDREIRO CANTO RETO 9,"44,000",UN,21.96,0.0,
434,COLHER PEDREIRO REDONDO 9 16KG,"38,000",UN,20.74,0.0,
430,COLHER PEDREIRO RETO 7 13KG,"48,000",UN,19.81,0.0,
431,COLHER PEDREIRO RETO 8,"44,000",UN,20.73,0.0,
455,CONECTOR 10MM 3 POLO 10A 250V 08,"100,000",UN,2.38,0.0,APLASTEC
456,CONECTOR 16MM 2 POLO 50A 600V,"100,000",UN,2.65,0.0,APLASTEC
457,CONECTOR 16MM 3 POLO 50A 600V,"170,000",UN,4.48,0.0,APLASTEC
338,CONECTOR CERAMICO 3 POLOS 10MM,"-12,000",UN,3.02,0.0,PHP UTILIDADES LT
339,CONECTOR CERAMICO 3 POLOS 16 MM,"-23,000",UN,5.7,0.0,PHP UTILIDADES LT
504,CONECTOR DE MANGUEIRA 1/2,"354,000",UN,3.51,0.0,SETE MARES COMER
586,CONJUNTO COM 12 PCS BUCHA 8,"100,000",UN,1.85,0.0,
587,CONJUNTO COM 12 PCS BUCHA 8,"100,000",UN,1.85,0.0,
588,CONJUNTO COM 8 PCS BUCHA 10,"100,000",UN,1.85,0.0,
101,CONJUNTO DE LAMINA DE ESTILETE 1,"37,000",UN,4.9,0.0,KL VITORIA - COM. D
369,CONJUNTO DE ROLOS PARA PINTURA C,"7,000",UN,74.74,0.0,KL VITORIA - COM. D
102,"CONJUNTO DE SOQUETE 9 PCS, MARCA","-3,000",UN,15.4,0.0,KL VITORIA - COM. D
584,CORANTE LIQUID INDELFLEX AMAREL,"156,000",UN,4.5,0.0,VALDEMAR SANTA
585,CORANTE LIQUID INDELFLEX AZUL 5,"156,000",UN,4.5,0.0,VALDEMAR SANTA
582,CORANTE LIQUID INDELFLEX PRETO 5,"120,000",UN,4.5,0.0,VALDEMAR SANTA
583,CORANTE LIQUID INDELFLEX VERDE 5,"156,000",UN,4.5,0.0,VALDEMAR SANTA
393,CORDA DE MULTI USO 15MMX 8MM,"21,000",UN,9.99,0.0,SETE MARES COMER
392,CORDA MULTI USO 10 X 8MM,"67,000",UN,7.44,0.0,SETE MARES COMER
72,"DISCO ABRASIVO 115X1X20,23MM INOX","-32,000",UN,3.0,0.0,TECNO CORTE
287,DISCO DE CORTE 24 DENTES FURO 25 P,"5,000",UN,36.15,0.0,DIAMETALIC FERRA
368,DISCO DE CORTE ABRASIVO 110X1.0X2,"70,000",UN,3.36,0.0,KL VITORIA - COM. D
366,DISCO DE CORTE ABRASIVO INOX 115 X,"200,000",UN,1.78,0.0,KL VITORIA - COM. D
520,DISCO DE CORTE ABRASIVO INOX 115,"400,000",UN,4.1,0.0,KL VITORIA - COM. D
367,DISCO DE CORTE ABRASIVO INOX 180 X,"70,000",UN,5.46,0.0,KL VITORIA - COM. D
201,DISCO DE CORTE DIAMANTADO 100X2,"145,000",UN,17.99,0.0,STONE DIAMOND TO
577,DISCO DE CORTE DIAMANTADO 100X2,"90,000",UN,9.9,0.0,STONE DIAMOND TO
576,DISCO DE CORTE DIAMANTADO 100X2,"87,000",UN,9.9,0.0,STONE DIAMOND TO
574,DISCO DE CORTE DIAMANTADO 110X2,"90,000",UN,9.9,0.0,STONE DIAMOND TO
195,DISCO DE CORTE DIAMANTADO 110X8,"31,000",UN,8.9,0.0,STONE DIAMOND TO
196,DISCO DE CORTE DIAMANTADO 110X8,"101,000",UN,8.9,0.0,STONE DIAMOND TO
202,DISCO DE CORTE DIAMANTADO 110X8,"117,000",UN,8.9,0.0,STONE DIAMOND TO
515,DISCO DE CORTE DIAMANTADO PORCE,"10,000",UN,18.59,0.0,KL VITORIA - COM. D
421,DISCO DE CORTE DIAMANTADO PORCE,"10,000",UN,0.0,0.0,KL VITORIA - COM. D
344,DISCO DE FERRO ACO INOX CORTE RAP,"0,000",UN,6.99,0.0,DIAMETALIC FERRA
525,DISCO DE LIXA 125MM GR.80,"143,000",PC,1.2,0.0,KL VITORIA - COM. D
529,"DISCO DE LIXA VELCRO 125 X 22MM ,G","143,000",PC,1.02,0.0,KL VITORIA - COM. D
524,"DISCO DE LIXA VELCRO 125MM,GR 060","143,000",UN,1.42,0.0,KL VITORIA - COM. D
523,"DISCO DE LIXA VELCRO 125MM,GR.040","143,000",PC,1.4,0.0,KL VITORIA - COM. D
527,"DISCO DE LIXA VELCRO 125MM,GR.120","145,000",PC,1.3,0.0,KL VITORIA - COM. D
528,"DISCO DE LIXA VELCRO 125MM,GR.150","143,000",PC,1.36,0.0,KL VITORIA - COM. D
526,"DISCO DE LIXA VELCRO,GR.100","145,000",PC,1.36,0.0,KL VITORIA - COM. D
315,"DISCO DE SERRA CIRCULAR, P/ MADEIR","-119,000",UN,5.55,0.0,SETE MARES COMER
573,DISCO DIAMANTADO 110X15MM ELETR,"100,000",UN,16.0,0.0,STONE DIAMOND TO
571,DISCO DIAMANTADO 110X20X1.2X10,"100,000",UN,20.0,0.0,STONE DIAMOND TO
199,DISCO DIAMANTADO 110X20X1.2X10,"37,000",UN,17.99,0.0,STONE DIAMOND TO
232,DISCO DIAMETALIC PORCELANATO FU,"4,000",UN,22.89,0.0,DIAMETALIC FERRA
233,DISCO ESMERILHADEIRA TURBO FURO,"-2,000",UN,14.28,0.0,DIAMETALIC FERRA
162,"DISCO FLASH INOX 114,3X1,0X22,2MM","411,000",UN,1.65,0.0,STARTOOLS FERRA
243,DRYWALL FORRO CABECA PHILIPS FL,"59,000",CT,72.32,0.0,KL VITORIA - COM. D
244,DRYWALL FORRO CABECA PHILIPS FL,"0,000",CT,60.56,0.0,KL VITORIA - COM. D
402,"ELASTICO EXTENSOR 1,5M X 8MM","129,000",UN,5.16,0.0,SETE MARES COMER
497,"ELASTICO EXTENSOR 1,8 X 8MM","84,000",UN,5.4,0.0,
271,"ESPATULA CABO DE MADEIRA 3 , MAR","174,000",UN,6.42,0.0,KL VITORIA - COM. D
103,ESPATULA CABO DE MADEIRA ELITE 2,"193,000",UN,6.1,0.0,KL VITORIA - COM. D
104,ESPATULA CABO DE MADEIRA ELITE 4,"191,000",UN,6.74,0.0,KL VITORIA - COM. D
105,ESPATULA CABO DE MADEIRA ELITE 5,"202,000",UN,7.79,0.0,KL VITORIA - COM. D
218,ESPATULA COM CABO EMBORRACHAD,"201,000",UN,6.6,0.0,SETE MARES COMER
376,"ESQUADRO DE METAL, P/ CONSTRUCA","109,000",UN,11.99,0.0,SETE MARES COMER
401,ESQUINCHO MANGUEIRA,"112,000",UN,9.99,0.0,SETE MARES COMER
75,"ESTILETE 18MM, MARCA ELITE","79,000",UN,4.9,0.0,KL VITORIA - COM. D
76,ESTILETE PROFISSIONAL 18MM ELITE,"40,000",UN,7.07,0.0,KL VITORIA - COM. D
560,ETIQUETA P/ETIQUETADORA 50,"100,000",UN,13.1,0.0,SETE MARES COMER
220,EXTENSAO 2P+T 02MT PRETA SAQUIN,"12,000",UN,13.71,0.0,APLASTEC
222,EXTENSAO 2P+T 05MT PRETA-SAQUINH,"12,000",UN,23.33,0.0,APLASTEC
219,"EXTENSAO 2P+T 1,5 MT PRETO SAQUIN","12,000",UN,12.1,0.0,APLASTEC
223,EXTENSAO 2P+T 10MT PRETA,"-42,000",UN,39.56,0.0,
221,EXTENSAO 2P+T03M PRETA-SAQUINH,"12,000",UN,15.99,0.0,APLASTEC
458,EXTENSAO ELETRICA 2M,"21,000",UN,15.43,0.0,APLASTEC
459,EXTENSAO ELETRICA 3M,"24,000",UN,19.03,0.0,APLASTEC
460,EXTENSAO ELETRICA DE 5M,"22,000",UN,26.21,0.0,APLASTEC
385,EXTENSAO QUADRUPLA 5M,"19,000",UN,26.36,0.0,LUSTER IND DE MAT
383,"EXTENSAO QUADRUPULA 1,5M","39,000",UN,15.6,0.0,LUSTER IND DE MAT
384,EXTENSAO QUADRUPULA 3M,"57,000",UN,17.85,0.0,LUSTER IND DE MAT
129,FECHADURA ANTI-FURTO COR PRETA,"8,000",UN,61.54,0.0,KL VITORIA - COM. D
395,"FERRAMENTA FITA MANUAL, DE USO D","0,000",CX,0.0,0.0,
464,FILTRO DE LINHA COM FUSIVEL 3 TOMA,"4,000",UN,24.19,0.0,APLASTEC
462,FILTRO DE LINHA COM FUSIVEL 4 TOMA,"6,000",UN,25.33,0.0,APLASTEC
463,FILTRO DE LINHA COM FUSIVEL 5 TOMA,"10,000",UN,26.23,0.0,APLASTEC
461,FILTRO DE LINHA COM FUSíVEL COM 6,"10,000",UN,27.09,0.0,APLASTEC
377,FITA ADESIVA DUPLA FACE 2M X 25M,"248,000",UN,7.99,0.0,SETE MARES COMER
317,"FITA ADESIVA, ANTIDERRAPANTE, DE F","-6,000",UN,15.92,0.0,SETE MARES COMER
318,"FITA ADESIVA, ANTIDERRAPANTE, DE F","52,000",UN,17.82,0.0,SETE MARES COMER
378,"FITA ADESIVA, DUPLA FACE VERMELH","227,000",UN,7.99,0.0,SETE MARES COMER
215,FITA FIXA- FACIL - 12 MM X 2 M,"1666,000",UN,4.56,0.0,APLASTEC
216,FITA FIXA- FACIL - 18 MM X 2 M,"2480,000",UN,6.14,0.0,APLASTEC
357,FITA FIXTAPE BUTILICA 10CM X 5M X 1,"141,000",UN,32.05,0.0,KL VITORIA - COM. D
364,FITA FIXTAPE BUTILICA 5CMX5MX1.2M,"76,000",UN,17.22,0.0,KL VITORIA - COM. D
358,FITA FIXTAPE BUTILICA IMPERMEAVE,"87,000",UN,45.98,0.0,KL VITORIA - COM. D
423,FITA FIXTAPE BUTILICA IMPERMEAVE,"142,000",UN,79.94,0.0,KL VITORIA - COM. D
394,"FITA ISOLANTE 10MX17MMX0,15MM","403,000",UN,2.44,0.0,SETE MARES COMER
