codigo,produto,saldo,unidade,preco_atacado,preco_varejo,fornecedor,categoria
582,CORANTE LIQUID INDELFLEX PRETO 5,"120,000",UN,4.5,0.0,VALDEMAR SANTA,UTILIDADES
583,CORANTE LIQUID INDELFLEX VERDE 5,"156,000",UN,4.5,0.0,VALDEMAR SANTA,UTILIDADES
393,CORDA DE MULTI USO 15MMX 8MM,"21,000",UN,9.99,0.0,SETE MARES COMER,UTILIDADES
392,CORDA MULTI USO 10 X 8MM,"67,000",UN,7.44,0.0,SETE MARES COMER,UTILIDADES
72,"DISCO ABRASIVO 115X1X20,23MM INOX","-32,000",UN,3.0,0.0,TECNO CORTE,FERRAMENTAS
287,DISCO DE CORTE 24 DENTES FURO 25 P,"5,000",UN,36.15,0.0,DIAMETALIC FERRA,FERRAMENTAS
368,DISCO DE CORTE ABRASIVO 110X1.0X2,"70,000",UN,3.36,0.0,KL VITORIA - COM. D,FERRAMENTAS
366,DISCO DE CORTE ABRASIVO INOX 115 X,"200,000",UN,1.78,0.0,KL VITORIA - COM. D,FERRAMENTAS
520,DISCO DE CORTE ABRASIVO INOX 115,"400,000",UN,4.1,0.0,KL VITORIA - COM. D,FERRAMENTAS
367,DISCO DE CORTE ABRASIVO INOX 180 X,"70,000",UN,5.46,0.0,KL VITORIA - COM. D,FERRAMENTAS
201,DISCO DE CORTE DIAMANTADO 100X2,"145,000",UN,17.99,0.0,STONE DIAMOND TO,FERRAMENTAS
577,DISCO DE CORTE DIAMANTADO 100X2,"90,000",UN,9.9,0.0,STONE DIAMOND TO,FERRAMENTAS
576,DISCO DE CORTE DIAMANTADO 100X2,"87,000",UN,9.9,0.0,STONE DIAMOND TO,FERRAMENTAS
574,DISCO DE CORTE DIAMANTADO 110X2,"90,000",UN,9.9,0.0,STONE DIAMOND TO,FERRAMENTAS
195,DISCO DE CORTE DIAMANTADO 110X8,"31,000",UN,8.9,0.0,STONE DIAMOND TO,FERRAMENTAS
196,DISCO DE CORTE DIAMANTADO 110X8,"101,000",UN,8.9,0.0,STONE DIAMOND TO,FERRAMENTAS
202,DISCO DE CORTE DIAMANTADO 110X8,"117,000",UN,8.9,0.0,STONE DIAMOND TO,FERRAMENTAS
515,DISCO DE CORTE DIAMANTADO PORCE,"10,000",UN,18.59,0.0,KL VITORIA - COM. D,FERRAMENTAS
421,DISCO DE CORTE DIAMANTADO PORCE,"10,000",UN,0.0,0.0,KL VITORIA - COM. D,FERRAMENTAS
344,DISCO DE FERRO ACO INOX CORTE RAP,"0,000",UN,6.99,0.0,DIAMETALIC FERRA,FERRAMENTAS
525,DISCO DE LIXA 125MM GR.80,"143,000",PC,1.2,0.0,KL VITORIA - COM. D,FERRAMENTAS
529,"DISCO DE LIXA VELCRO 125 X 22MM ,G","143,000",PC,1.02,0.0,KL VITORIA - COM. D,FERRAMENTAS
524,"DISCO DE LIXA VELCRO 125MM,GR 060","143,000",UN,1.42,0.0,KL VITORIA - COM. D,FERRAMENTAS
523,"DISCO DE LIXA VELCRO 125MM,GR.040","143,000",PC,1.4,0.0,KL VITORIA - COM. D,FERRAMENTAS
527,"DISCO DE LIXA VELCRO 125MM,GR.120","145,000",PC,1.3,0.0,KL VITORIA - COM. D,FERRAMENTAS
528,"DISCO DE LIXA VELCRO 125MM,GR.150","143,000",PC,1.36,0.0,KL VITORIA - COM. D,FERRAMENTAS
526,"DISCO DE LIXA VELCRO,GR.100","145,000",PC,1.36,0.0,KL VITORIA - COM. D,FERRAMENTAS
315,"DISCO DE SERRA CIRCULAR, P/ MADEIR","-119,000",UN,5.55,0.0,SETE MARES COMER,FERRAMENTAS
573,DISCO DIAMANTADO 110X15MM ELETR,"100,000",UN,16.0,0.0,STONE DIAMOND TO,FERRAMENTAS
571,DISCO DIAMANTADO 110X20X1.2X10,"100,000",UN,20.0,0.0,STONE DIAMOND TO,FERRAMENTAS
199,DISCO DIAMANTADO 110X20X1.2X10,"37,000",UN,17.99,0.0,STONE DIAMOND TO,FERRAMENTAS
232,DISCO DIAMETALIC PORCELANATO FU,"4,000",UN,22.89,0.0,DIAMETALIC FERRA,ELETRICA
233,DISCO ESMERILHADEIRA TURBO FURO,"-2,000",UN,14.28,0.0,DIAMETALIC FERRA,FERRAMENTAS
162,"DISCO FLASH INOX 114,3X1,0X22,2MM","411,000",UN,1.65,0.0,STARTOOLS FERRA,FERRAMENTAS
243,DRYWALL FORRO CABECA PHILIPS FL,"59,000",CT,72.32,0.0,KL VITORIA - COM. D,FERRAMENTAS
244,DRYWALL FORRO CABECA PHILIPS FL,"0,000",CT,60.56,0.0,KL VITORIA - COM. D,FERRAMENTAS
402,"ELASTICO EXTENSOR 1,5M X 8MM","129,000",UN,5.16,0.0,SETE MARES COMER,UTILIDADES
497,"ELASTICO EXTENSOR 1,8 X 8MM","84,000",UN,5.4,0.0,,UTILIDADES
271,"ESPATULA CABO DE MADEIRA 3 , MAR","174,000",UN,6.42,0.0,KL VITORIA - COM. D,FERRAMENTAS
103,ESPATULA CABO DE MADEIRA ELITE 2,"193,000",UN,6.1,0.0,KL VITORIA - COM. D,FERRAMENTAS
104,ESPATULA CABO DE MADEIRA ELITE 4,"191,000",UN,6.74,0.0,KL VITORIA - COM. D,FERRAMENTAS
105,ESPATULA CABO DE MADEIRA ELITE 5,"202,000",UN,7.79,0.0,KL VITORIA - COM. D,FERRAMENTAS
218,ESPATULA COM CABO EMBORRACHAD,"201,000",UN,6.6,0.0,SETE MARES COMER,FERRAMENTAS
376,"ESQUADRO DE METAL, P/ CONSTRUCA","109,000",UN,11.99,0.0,SETE MARES COMER,FERRAMENTAS
401,ESQUINCHO MANGUEIRA,"112,000",UN,9.99,0.0,SETE MARES COMER,HIDRAULICA
75,"ESTILETE 18MM, MARCA ELITE","79,000",UN,4.9,0.0,KL VITORIA - COM. D,FERRAMENTAS
76,ESTILETE PROFISSIONAL 18MM ELITE,"40,000",UN,7.07,0.0,KL VITORIA - COM. D,FERRAMENTAS
560,ETIQUETA P/ETIQUETADORA 50,"100,000",UN,13.1,0.0,SETE MARES COMER,UTILIDADES
220,EXTENSAO 2P+T 02MT PRETA SAQUIN,"12,000",UN,13.71,0.0,APLASTEC,ELETRICA
222,EXTENSAO 2P+T 05MT PRETA-SAQUINH,"12,000",UN,23.33,0.0,APLASTEC,ELETRICA
219,"EXTENSAO 2P+T 1,5 MT PRETO SAQUIN","12,000",UN,12.1,0.0,APLASTEC,ELETRICA
223,EXTENSAO 2P+T 10MT PRETA,"-42,000",UN,39.56,0.0,,ELETRICA
221,EXTENSAO 2P+T03M PRETA-SAQUINH,"12,000",UN,15.99,0.0,APLASTEC,ELETRICA
458,EXTENSAO ELETRICA 2M,"21,000",UN,15.43,0.0,APLASTEC,ELETRICA
459,EXTENSAO ELETRICA 3M,"24,000",UN,19.03,0.0,APLASTEC,ELETRICA
460,EXTENSAO ELETRICA DE 5M,"22,000",UN,26.21,0.0,APLASTEC,ELETRICA
385,EXTENSAO QUADRUPLA 5M,"19,000",UN,26.36,0.0,LUSTER IND DE MAT,ELETRICA
383,"EXTENSAO QUADRUPULA 1,5M","39,000",UN,15.6,0.0,LUSTER IND DE MAT,ELETRICA
384,EXTENSAO QUADRUPULA 3M,"57,000",UN,17.85,0.0,LUSTER IND DE MAT,ELETRICA
129,FECHADURA ANTI-FURTO COR PRETA,"8,000",UN,61.54,0.0,KL VITORIA - COM. D,ELETRICA
395,"FERRAMENTA FITA MANUAL, DE USO D","0,000",CX,0.0,0.0,,SEM GRUPO
464,FILTRO DE LINHA COM FUSIVEL 3 TOMA,"4,000",UN,24.19,0.0,APLASTEC,ELETRICA
462,FILTRO DE LINHA COM FUSIVEL 4 TOMA,"6,000",UN,25.33,0.0,APLASTEC,ELETRICA
463,FILTRO DE LINHA COM FUSIVEL 5 TOMA,"10,000",UN,26.23,0.0,APLASTEC,ELETRICA
461,FILTRO DE LINHA COM FUSíVEL COM 6,"10,000",UN,27.09,0.0,APLASTEC,ELETRICA
377,FITA ADESIVA DUPLA FACE 2M X 25M,"248,000",UN,7.99,0.0,SETE MARES COMER,UTILIDADES
317,"FITA ADESIVA, ANTIDERRAPANTE, DE F","-6,000",UN,15.92,0.0,SETE MARES COMER,UTILIDADES
318,"FITA ADESIVA, ANTIDERRAPANTE, DE F","52,000",UN,17.82,0.0,SETE MARES COMER,UTILIDADES
378,"FITA ADESIVA, DUPLA FACE VERMELH","227,000",UN,7.99,0.0,SETE MARES COMER,UTILIDADES
215,FITA FIXA- FACIL - 12 MM X 2 M,"1666,000",UN,4.56,0.0,APLASTEC,UTILIDADES
216,FITA FIXA- FACIL - 18 MM X 2 M,"2480,000",UN,6.14,0.0,APLASTEC,UTILIDADES
357,FITA FIXTAPE BUTILICA 10CM X 5M X 1,"141,000",UN,32.05,0.0,KL VITORIA - COM. D,UTILIDADES
364,FITA FIXTAPE BUTILICA 5CMX5MX1.2M,"76,000",UN,17.22,0.0,KL VITORIA - COM. D,UTILIDADES
358,FITA FIXTAPE BUTILICA IMPERMEAVE,"87,000",UN,45.98,0.0,KL VITORIA - COM. D,UTILIDADES
423,FITA FIXTAPE BUTILICA IMPERMEAVE,"142,000",UN,79.94,0.0,KL VITORIA - COM. D,UTILIDADES
394,"FITA ISOLANTE 10MX17MMX0,15MM","403,000",UN,2.44,0.0,SETE MARES COMER,UTILIDADES
63,FITA ISOLANTE 19 X 10M X 0.13M ISOLA,"144,000",UN,3.8,0.0,KL VITORIA - COM. D,UTILIDADES
74,FITA ISOLANTE 19 X 20M X 0.13M,"98,000",UN,5.5,0.0,KL VITORIA - COM. D,UTILIDADES
348,FITA ISOLANTE 5M,"90,000",UN,1.46,0.0,SETE MARES COMER,UTILIDADES
505,FITA METRICA 7X24MM,"50,000",UN,14.98,0.0,SETE MARES COMER,UTILIDADES
398,FITA VEDA ROSCA 18MMX10M,"14,000",UN,1.99,0.0,SETE MARES COMER,UTILIDADES
79,FOLHA DE LIXA D AGUA 230X280MM G,"50,000",UN,1.93,0.0,KL VITORIA - COM. D,HIDRAULICA
80,FOLHA DE LIXA D AGUA 230X280MM G,"50,000",UN,1.6,0.0,KL VITORIA - COM. D,HIDRAULICA
89,FOLHA DE LIXA D AGUA 230X280MM G,"0,000",UN,1.51,0.0,KL VITORIA - COM. D,HIDRAULICA
81,FOLHA DE LIXA D AGUA 230X280MM G,"48,000",UN,1.51,0.0,KL VITORIA - COM. D,HIDRAULICA
82,FOLHA DE LIXA D AGUA 230X280MM G,"50,000",UN,1.6,0.0,KL VITORIA - COM. D,HIDRAULICA
90,FOLHA DE LIXA D AGUA 230X280MM G,"40,000",UN,1.51,0.0,KL VITORIA - COM. D,HIDRAULICA
83,FOLHA DE LIXA D AGUA 230X280MM G,"50,000",UN,1.6,0.0,KL VITORIA - COM. D,HIDRAULICA
84,FOLHA DE LIXA D AGUA 230X280MM G,"50,000",UN,1.51,0.0,KL VITORIA - COM. D,HIDRAULICA
85,FOLHA DE LIXA D AGUA 230X280MM G,"50,000",UN,1.51,0.0,KL VITORIA - COM. D,HIDRAULICA
86,FOLHA DE LIXA D AGUA 230X280MM G,"50,000",UN,1.68,0.0,KL VITORIA - COM. D,HIDRAULICA
87,FOLHA DE LIXA D AGUA 230X280MM G,"50,000",UN,1.51,0.0,KL VITORIA - COM. D,HIDRAULICA
88,FOLHA DE LIXA D AGUA 230X280MM G,"50,000",UN,1.51,0.0,KL VITORIA - COM. D,HIDRAULICA
78,FOLHA DE LIXA D AGUA 230X280MM G,"50,000",UN,1.93,0.0,KL VITORIA - COM. D,HIDRAULICA
96,FOLHA DE LIXA PARA FERRO 230X280,"50,000",UN,1.93,0.0,KL VITORIA - COM. D,HIDRAULICA
97,FOLHA DE LIXA PARA FERRO 230X280,"50,000",UN,1.6,0.0,KL VITORIA - COM. D,HIDRAULICA
98,FOLHA DE LIXA PARA FERRO 230X280,"50,000",UN,1.6,0.0,KL VITORIA - COM. D,HIDRAULICA
99,FOLHA DE LIXA PARA FERRO 230X280,"50,000",UN,1.6,0.0,KL VITORIA - COM. D,HIDRAULICA
100,FOLHA DE LIXA PARA FERRO 230X280,"-5,000",UN,1.6,0.0,KL VITORIA - COM. D,HIDRAULICA
91,FOLHA DE LIXA PARA FERRO 230X280,"40,000",UN,2.38,0.0,KL VITORIA - COM. D,HIDRAULICA
92,FOLHA DE LIXA PARA FERRO 230X280,"50,000",UN,2.27,0.0,KL VITORIA - COM. D,HIDRAULICA
93,FOLHA DE LIXA PARA FERRO 230X280,"0,000",UN,2.27,0.0,KL VITORIA - COM. D,HIDRAULICA
94,FOLHA DE LIXA PARA FERRO 230X280,"0,000",UN,2.03,0.0,KL VITORIA - COM. D,HIDRAULICA
95,FOLHA DE LIXA PARA FERRO 230X280,"12,000",UN,2.25,0.0,KL VITORIA - COM. D,HIDRAULICA
108,FORRO CABECA PHILIPS FLANGEADA C,"48,000",CT,82.18,0.0,KL VITORIA - COM. D,FERRAMENTAS
109,FORRO CABECA PHILIPS FLANGEADA C,"12,000",CT,79.97,0.0,KL VITORIA - COM. D,FERRAMENTAS
110,FORRO CABECA PHILIPS FLANGEADA C,"16,000",CT,100.08,0.0,KL VITORIA - COM. D,FERRAMENTAS
111,FORRO CABECA PHILIPS FLANGEADA C,"40,000",CT,76.93,0.0,KL VITORIA - COM. D,FERRAMENTAS
122,FORRO CABECA PHILIPS FLANGEADA P,"0,000",CT,67.95,0.0,KL VITORIA - COM. D,FERRAMENTAS
112,FORRO CABECA PHILIPS FLANGEADA P,"12,000",CT,68.74,0.0,KL VITORIA - COM. D,FERRAMENTAS
115,FORRO CABECA PHILIPS FLANGEADA P,"0,000",CT,77.95,0.0,KL VITORIA - COM. D,FERRAMENTAS
117,FORRO CABECA PHILIPS FLANGEADA P,"27,000",CT,68.11,0.0,KL VITORIA - COM. D,FERRAMENTAS
118,FORRO CABECA PHILIPS FLANGEADA P,"30,000",CT,86.96,0.0,KL VITORIA - COM. D,FERRAMENTAS
120,FORRO CABECA PHILIPS FLANGEADA P,"0,000",CT,104.45,0.0,KL VITORIA - COM. D,FERRAMENTAS
121,FORRO CABECA PHILIPS FLANGEADA P,"72,000",CX,9.2,0.0,CONTROLESIS TECN,FERRAMENTAS
128,GESSO CABECA TROMBETA PHILIPS P,"8,000",CT,60.48,0.0,KL VITORIA - COM. D,FERRAMENTAS
349,GRAMPOS PARA FIXACAO 10MM,"28,000",UN,3.68,0.0,SETE MARES COMER,UTILIDADES
350,GRAMPOS PARA FIXACAO DE FIOS 6M,"39,000",UN,2.96,0.0,SETE MARES COMER,UTILIDADES
351,GRAMPOS PARA FIXACAO DE FIOS 8M,"66,000",PC,3.32,0.0,SETE MARES COMER,UTILIDADES
49,"JOGO CHAVE COMBINADA C/8PCS 8,9","6,000",UN,38.28,0.0,STARTOOLS FERRA,FERRAMENTAS
51,"JOGO CHAVE FIXA 6X7,8X9,10X11,12X","3,000",UN,37.66,0.0,STARTOOLS FERRA,FERRAMENTAS
50,"JOGO CHAVE FIXA 6X7,8X9,10X11,12X","1,000",UN,21.44,0.0,STARTOOLS FERRA,FERRAMENTAS
557,JOGO DE BITS MAGNETICO PONTEIRA p,"233,000",UN,29.84,0.0,SETE MARES COMER,FERRAMENTAS
561,JOGO DE BITS METALICOS 100MM,"235,000",UN,33.34,0.0,SETE MARES COMER,FERRAMENTAS
382,JOGO DE BROCAS CHATAS PARA MADEI,"71,000",UN,24.99,0.0,SETE MARES COMER,FERRAMENTAS
345,"KIT TERMINAL ELETRICO,280 PCS","92,000",UN,30.9,0.0,SETE MARES COMER,ELETRICA
106,LAMINA PARA ARCO DE SERRA 12 24,"96,000",UN,5.5,0.0,KL VITORIA - COM. D,FERRAMENTAS
374,LANCAS PROTETORAS PARA MURO MT,"1,000",UN,8.9,0.0,AKL COM ELETRICA,FERRAMENTAS
213,LORENZETTI RESISTENCIA ULTRA BEL,"-168,000",PC,39.95,0.0,KONECTA,ELETRICA
316,"MAQUINA ETIQUETADORA MANUAL, D","50,000",UN,30.92,0.0,SETE MARES COMER,UTILIDADES
379,MARTELO CABO EMBORRACHADO 2,"92,000",UN,19.99,0.0,SETE MARES COMER,FERRAMENTAS
418,MARTELO CABO DE MADEIRA 27MM,"16,000",UN,18.84,0.0,KL VITORIA - COM. D,FERRAMENTAS
380,MARTELO CABO EMBORRACHADO 50,"27,000",UN,29.76,0.0,SETE MARES COMER,FERRAMENTAS
212,MAX BRAND LAMINA DE BARBEAR,"227,000",UN,6.74,0.0,,UTILIDADES
566,MINI MARTELO DE METAL CABO EMBOR,"118,000",UN,16.02,0.0,SETE MARES COMER,FERRAMENTAS
567,MISTURADOR DE TINTA 400X80,"98,000",UN,12.83,0.0,SETE MARES COMER,FERRAMENTAS
502,MISTURADOR DE TINTA DE METAL,"100,000",UN,14.99,0.0,SETE MARES COMER,UTILIDADES
321,NIVEL P/ USO EM CONSTRUCAO CIVIL 4,"26,000",UN,20.52,0.0,SETE MARES COMER,FERRAMENTAS
322,NIVEL P/ USO EM CONSTRUCAO CIVIL 5,"41,000",UN,23.48,0.0,SETE MARES COMER,FERRAMENTAS
126,PARAF AUTO BROCANTE ARRUELA MO,"4,000",CX,76.61,0.0,KL VITORIA - COM. D,FERRAMENTAS
414,PARAF AUTO BROCANTE CABECA CHA,"50,000",CT,57.92,0.0,KL VITORIA - COM. D,FERRAMENTAS
114,PARAF FORRO CABECA PHILIPS FLAN,"0,000",CT,67.95,0.0,KL VITORIA - COM. D,FERRAMENTAS
356,"PARAF TELHEIRO 5/16 X 110M, ZINCAD","7,000",CX,70.4,0.0,KL VITORIA - COM. D,FERRAMENTAS
174,PARAF (ANFIX) GESSO CABECA TROMBE,"100,000",UN,0.0,0.0,LUSTER IND DE MAT,ELETRICA
127,PARAF (ANFIX) GESSO CABECA TROMBE,"-5,000",CX,33.44,0.0,KL VITORIA - COM. D,FERRAMENTAS
119,PARAF (ANFIX) STEEL FRAME CABECA P,"17,000",CT,95.76,0.0,KL VITORIA - COM. D,FERRAMENTAS
415,PARAF AUTO BROCANTE ARRUELA 12,"0,000",CT,78.46,0.0,KL VITORIA - COM. D,FERRAMENTAS
417,PARAF AUTO BROCANTE ARRUELA MO,"15,000",CT,72.82,0.0,,FERRAMENTAS
353,PARAF AUTO BROCANTE ARRUELA MO,"6,000",CT,83.33,0.0,KL VITORIA - COM. D,FERRAMENTAS
